Date_Ref,Cod_Marca,Descr_Marca,Cod_Loja,Descr_Loja,Matricula,Vlr _Venda
11/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"10,00"
11/1/2025,10,PRETO,58,LOJA-58,MATRIC-321,"11,40"
11/1/2025,10,PRETO,45,LOJA-45,MATRIC-138,"12,50"
11/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"20,00"
11/1/2025,10,PRETO,48,LOJA-48,MATRIC-404,"20,00"
11/1/2025,20,BRANCO,51,LOJA-51,MATRIC-231,"20,00"
11/24/2025,10,PRETO,77,LOJA-77,MATRIC-243,"25,30"
11/24/2025,30,AZUL,46,LOJA-46,MATRIC-367,"25,40"
11/24/2025,10,PRETO,10,LOJA-10,MATRIC-201,"35,30"
11/24/2025,10,PRETO,34,LOJA-34,MATRIC-27,"36,10"
11/24/2025,10,PRETO,77,LOJA-77,MATRIC-178,"39,00"
11/24/2025,10,PRETO,44,LOJA-44,MATRIC-286,"40,20"
11/24/2025,10,PRETO,66,LOJA-66,MATRIC-495,"47,80"
11/24/2025,10,PRETO,50,LOJA-50,MATRIC-123,"49,00"
11/24/2025,10,PRETO,42,LOJA-42,MATRIC-256,"51,40"
11/24/2025,10,PRETO,42,LOJA-42,MATRIC-137,"55,60"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-530,"60,00"
11/24/2025,10,PRETO,77,LOJA-77,MATRIC-243,"64,50"
11/24/2025,10,PRETO,13,LOJA-13,MATRIC-422,"64,50"
11/24/2025,10,PRETO,45,LOJA-45,MATRIC-194,"64,50"
11/24/2025,30,AZUL,21,LOJA-21,MATRIC-391,"65,40"
11/24/2025,30,AZUL,46,LOJA-46,MATRIC-462,"69,00"
11/24/2025,30,AZUL,47,LOJA-47,MATRIC-374,"69,00"
11/24/2025,30,AZUL,47,LOJA-47,MATRIC-492,"69,00"
11/24/2025,10,PRETO,72,LOJA-72,MATRIC-409,"69,50"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-405,"69,50"
11/24/2025,10,PRETO,7,LOJA-7,MATRIC-583,"69,50"
11/24/2025,10,PRETO,15,LOJA-15,MATRIC-5,"69,50"
11/24/2025,10,PRETO,17,LOJA-17,MATRIC-170,"69,50"
11/24/2025,10,PRETO,18,LOJA-18,MATRIC-382,"69,50"
11/24/2025,10,PRETO,18,LOJA-18,MATRIC-382,"69,50"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-361,"69,50"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"69,50"
11/24/2025,10,PRETO,23,LOJA-23,MATRIC-398,"69,50"
11/24/2025,10,PRETO,29,LOJA-29,MATRIC-260,"69,50"
11/24/2025,10,PRETO,48,LOJA-48,MATRIC-404,"69,50"
11/24/2025,40,VERMELHO,1,LOJA-1,MATRIC-140,"70,00"
11/24/2025,10,PRETO,13,LOJA-13,MATRIC-422,"71,00"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-405,"74,50"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-412,"79,00"
11/24/2025,10,PRETO,6,LOJA-6,MATRIC-400,"79,20"
11/24/2025,10,PRETO,67,LOJA-67,MATRIC-83,"79,50"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"79,50"
11/24/2025,10,PRETO,44,LOJA-44,MATRIC-286,"79,50"
11/24/2025,10,PRETO,52,LOJA-52,MATRIC-284,"79,50"
11/24/2025,10,PRETO,52,LOJA-52,MATRIC-284,"79,50"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-444,"79,50"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-444,"79,50"
11/24/2025,10,PRETO,10,LOJA-10,MATRIC-201,"84,50"
11/24/2025,10,PRETO,52,LOJA-52,MATRIC-284,"84,50"
11/24/2025,10,PRETO,31,LOJA-31,MATRIC-42,"85,50"
11/24/2025,10,PRETO,77,LOJA-77,MATRIC-186,"90,00"
11/24/2025,10,PRETO,10,LOJA-10,MATRIC-357,"90,30"
11/24/2025,10,PRETO,52,LOJA-52,MATRIC-258,"90,30"
11/24/2025,10,PRETO,29,LOJA-29,MATRIC-260,"94,50"
11/24/2025,10,PRETO,58,LOJA-58,MATRIC-459,"94,50"
11/24/2025,10,PRETO,68,LOJA-68,MATRIC-56,"97,30"
11/24/2025,10,PRETO,68,LOJA-68,MATRIC-9,"97,30"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"97,30"
11/24/2025,10,PRETO,48,LOJA-48,MATRIC-531,"97,30"
11/24/2025,10,PRETO,50,LOJA-50,MATRIC-123,"97,30"
11/24/2025,10,PRETO,29,LOJA-29,MATRIC-260,"99,00"
11/24/2025,10,PRETO,74,LOJA-74,MATRIC-493,"99,50"
11/24/2025,10,PRETO,13,LOJA-13,MATRIC-422,"99,50"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-361,"99,50"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-361,"99,50"
11/24/2025,10,PRETO,63,LOJA-63,MATRIC-185,"100,00"
11/24/2025,10,PRETO,78,LOJA-78,MATRIC-297,"101,20"
11/24/2025,10,PRETO,78,LOJA-78,MATRIC-513,"103,20"
11/24/2025,10,PRETO,63,LOJA-63,MATRIC-185,"104,30"
11/24/2025,10,PRETO,68,LOJA-68,MATRIC-228,"104,30"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-405,"104,30"
11/24/2025,10,PRETO,12,LOJA-12,MATRIC-315,"104,30"
11/24/2025,10,PRETO,13,LOJA-13,MATRIC-387,"104,30"
11/24/2025,10,PRETO,12,LOJA-12,MATRIC-285,"109,00"
11/24/2025,10,PRETO,26,LOJA-26,MATRIC-124,"109,00"
11/24/2025,10,PRETO,72,LOJA-72,MATRIC-409,"109,50"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"109,50"
11/24/2025,10,PRETO,67,LOJA-67,MATRIC-118,"111,20"
11/24/2025,10,PRETO,71,LOJA-71,MATRIC-179,"111,20"
11/24/2025,10,PRETO,72,LOJA-72,MATRIC-560,"111,20"
11/24/2025,10,PRETO,72,LOJA-72,MATRIC-346,"111,20"
11/24/2025,10,PRETO,74,LOJA-74,MATRIC-532,"111,20"
11/24/2025,10,PRETO,77,LOJA-77,MATRIC-275,"111,20"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-568,"111,20"
11/24/2025,10,PRETO,4,LOJA-4,MATRIC-413,"111,20"
11/24/2025,10,PRETO,7,LOJA-7,MATRIC-80,"111,20"
11/24/2025,10,PRETO,9,LOJA-9,MATRIC-227,"111,20"
11/24/2025,10,PRETO,9,LOJA-9,MATRIC-328,"111,20"
11/24/2025,10,PRETO,9,LOJA-9,MATRIC-263,"111,20"
11/24/2025,10,PRETO,11,LOJA-11,MATRIC-266,"111,20"
11/24/2025,10,PRETO,15,LOJA-15,MATRIC-5,"111,20"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"111,20"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"111,20"
11/24/2025,10,PRETO,26,LOJA-26,MATRIC-51,"111,20"
11/24/2025,10,PRETO,34,LOJA-34,MATRIC-157,"111,20"
11/24/2025,10,PRETO,50,LOJA-50,MATRIC-116,"111,20"
11/24/2025,10,PRETO,52,LOJA-52,MATRIC-258,"111,20"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-418,"111,20"
11/24/2025,10,PRETO,58,LOJA-58,MATRIC-459,"111,20"
11/24/2025,10,PRETO,72,LOJA-72,MATRIC-409,"114,50"
11/24/2025,10,PRETO,78,LOJA-78,MATRIC-467,"119,20"
11/24/2025,10,PRETO,16,LOJA-16,MATRIC-17,"119,20"
11/24/2025,10,PRETO,25,LOJA-25,MATRIC-550,"119,20"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-568,"119,40"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-455,"119,40"
11/24/2025,10,PRETO,13,LOJA-13,MATRIC-422,"119,50"
11/24/2025,10,PRETO,42,LOJA-42,MATRIC-137,"119,50"
11/24/2025,10,PRETO,42,LOJA-42,MATRIC-137,"124,50"
11/24/2025,10,PRETO,6,LOJA-6,MATRIC-400,"127,20"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-499,"132,30"
11/24/2025,10,PRETO,7,LOJA-7,MATRIC-583,"134,00"
11/24/2025,10,PRETO,4,LOJA-4,MATRIC-413,"135,20"
11/24/2025,30,AZUL,47,LOJA-47,MATRIC-327,"138,00"
11/24/2025,10,PRETO,74,LOJA-74,MATRIC-493,"139,00"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-405,"139,00"
11/24/2025,10,PRETO,6,LOJA-6,MATRIC-400,"139,00"
11/24/2025,10,PRETO,7,LOJA-7,MATRIC-583,"139,00"
11/24/2025,10,PRETO,8,LOJA-8,MATRIC-46,"139,00"
11/24/2025,10,PRETO,13,LOJA-13,MATRIC-505,"139,00"
11/24/2025,10,PRETO,15,LOJA-15,MATRIC-363,"139,00"
11/24/2025,10,PRETO,16,LOJA-16,MATRIC-139,"139,00"
11/24/2025,10,PRETO,18,LOJA-18,MATRIC-411,"139,00"
11/24/2025,10,PRETO,28,LOJA-28,MATRIC-202,"139,00"
11/24/2025,10,PRETO,32,LOJA-32,MATRIC-572,"139,00"
11/24/2025,10,PRETO,44,LOJA-44,MATRIC-217,"139,00"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-444,"139,00"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"139,50"
11/24/2025,10,PRETO,8,LOJA-8,MATRIC-269,"143,40"
11/24/2025,10,PRETO,33,LOJA-33,MATRIC-60,"144,00"
11/24/2025,10,PRETO,33,LOJA-33,MATRIC-60,"144,00"
11/24/2025,10,PRETO,12,LOJA-12,MATRIC-285,"144,50"
11/24/2025,10,PRETO,13,LOJA-13,MATRIC-422,"144,50"
11/24/2025,10,PRETO,14,LOJA-14,MATRIC-590,"144,50"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-361,"144,50"
11/24/2025,10,PRETO,14,LOJA-14,MATRIC-590,"149,00"
11/24/2025,10,PRETO,29,LOJA-29,MATRIC-260,"149,00"
11/24/2025,10,PRETO,42,LOJA-42,MATRIC-137,"149,00"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-444,"149,00"
11/24/2025,10,PRETO,48,LOJA-48,MATRIC-531,"149,40"
11/24/2025,10,PRETO,31,LOJA-31,MATRIC-52,"149,50"
11/24/2025,10,PRETO,35,LOJA-35,MATRIC-10,"149,50"
11/24/2025,10,PRETO,52,LOJA-52,MATRIC-284,"149,50"
11/24/2025,10,PRETO,58,LOJA-58,MATRIC-459,"149,50"
11/24/2025,50,AMARELO,59,LOJA-59,MATRIC-452,"150,00"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-497,"151,20"
11/24/2025,10,PRETO,74,LOJA-74,MATRIC-493,"154,00"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-444,"154,00"
11/24/2025,10,PRETO,42,LOJA-42,MATRIC-137,"154,50"
11/24/2025,10,PRETO,61,LOJA-61,MATRIC-45,"159,00"
11/24/2025,10,PRETO,67,LOJA-67,MATRIC-83,"159,00"
11/24/2025,10,PRETO,71,LOJA-71,MATRIC-179,"159,00"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-392,"159,00"
11/24/2025,10,PRETO,12,LOJA-12,MATRIC-285,"159,00"
11/24/2025,10,PRETO,14,LOJA-14,MATRIC-193,"159,00"
11/24/2025,10,PRETO,16,LOJA-16,MATRIC-139,"159,00"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-218,"159,00"
11/24/2025,10,PRETO,22,LOJA-22,MATRIC-484,"159,00"
11/24/2025,10,PRETO,42,LOJA-42,MATRIC-137,"159,00"
11/24/2025,10,PRETO,6,LOJA-6,MATRIC-400,"159,20"
11/24/2025,10,PRETO,24,LOJA-24,MATRIC-600,"159,20"
11/24/2025,10,PRETO,16,LOJA-16,MATRIC-139,"164,00"
11/24/2025,40,VERMELHO,1,LOJA-1,MATRIC-26,"164,25"
11/24/2025,10,PRETO,67,LOJA-67,MATRIC-83,"164,50"
11/24/2025,10,PRETO,18,LOJA-18,MATRIC-382,"164,50"
11/24/2025,50,AMARELO,59,LOJA-59,MATRIC-205,"165,00"
11/24/2025,40,VERMELHO,69,LOJA-69,MATRIC-93,"167,30"
11/24/2025,10,PRETO,6,LOJA-6,MATRIC-400,"169,00"
11/24/2025,10,PRETO,16,LOJA-16,MATRIC-139,"169,00"
11/24/2025,10,PRETO,18,LOJA-18,MATRIC-382,"169,50"
11/24/2025,10,PRETO,31,LOJA-31,MATRIC-52,"169,50"
11/24/2025,10,PRETO,77,LOJA-77,MATRIC-275,"174,30"
11/24/2025,10,PRETO,80,LOJA-80,MATRIC-268,"174,30"
11/24/2025,10,PRETO,2,LOJA-2,MATRIC-568,"174,30"
11/24/2025,10,PRETO,8,LOJA-8,MATRIC-317,"174,30"
11/24/2025,10,PRETO,10,LOJA-10,MATRIC-201,"174,30"
11/24/2025,10,PRETO,15,LOJA-15,MATRIC-5,"174,30"
11/24/2025,10,PRETO,34,LOJA-34,MATRIC-157,"174,30"
11/24/2025,10,PRETO,37,LOJA-37,MATRIC-380,"174,30"
11/24/2025,10,PRETO,37,LOJA-37,MATRIC-380,"174,30"
11/24/2025,10,PRETO,63,LOJA-63,MATRIC-135,"175,20"
11/24/2025,10,PRETO,28,LOJA-28,MATRIC-76,"175,20"
11/24/2025,30,AZUL,21,LOJA-21,MATRIC-391,"178,00"
11/24/2025,10,PRETO,28,LOJA-28,MATRIC-6,"179,00"
11/24/2025,10,PRETO,35,LOJA-35,MATRIC-47,"179,00"
11/24/2025,10,PRETO,8,LOJA-8,MATRIC-313,"179,40"
11/24/2025,10,PRETO,10,LOJA-10,MATRIC-424,"179,40"
11/24/2025,10,PRETO,34,LOJA-34,MATRIC-152,"179,40"
11/24/2025,10,PRETO,7,LOJA-7,MATRIC-107,"183,20"
11/24/2025,10,PRETO,35,LOJA-35,MATRIC-50,"183,20"
11/24/2025,10,PRETO,53,LOJA-53,MATRIC-418,"183,20"
11/24/2025,10,PRETO,19,LOJA-19,MATRIC-361,"184,00"
11/24/2025,30,AZUL,55,LOJA-55,MATRIC-436,"188,00"
11/24/2025,10,PRETO,3,LOJA-3,MATRIC-515,"189,00"
11/24/2025,10,PRETO,50,LOJA-50,MATRIC-123,"191,20"
11/24/2025,10,PRETO,71,LOJA-71,MATRIC-179,"194,00"
11/24/2025,20,BRANCO,65,LOJA-65,MATRIC-556,"195,00"
11/24/2025,20,BRANCO,65,LOJA-65,MATRIC-14,"195,00"
11/24/2025,20,BRANCO,79,LOJA-79,MATRIC-594,"195,00"
11/24/2025,20,BRANCO,79,LOJA-79,MATRIC-129,"195,00"
11/24/2025,20,BRANCO,79,LOJA-79,MATRIC-7,"195,00"
11/24/2025,20,BRANCO,49,LOJA-49,MATRIC-119,"195,00"
11/24/2025,10,PRETO,10,LOJA-10,MATRIC-201,"199,00"
