Date_Ref,Cod_Marca,Descr_Marca,Cod_Loja,Descr_Loja,Matricula,Vlr _Venda
10/1/2025,10,PRETO,77,LOJA-77,MATRIC-186,"10,00"
10/1/2025,10,PRETO,31,LOJA-31,MATRIC-91,"10,00"
10/1/2025,10,PRETO,42,LOJA-42,MATRIC-254,"10,00"
10/1/2025,10,PRETO,63,LOJA-63,MATRIC-185,"10,00"
10/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"10,00"
10/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"20,00"
10/1/2025,10,PRETO,28,LOJA-28,MATRIC-13,"20,00"
10/1/2025,10,PRETO,3,LOJA-3,MATRIC-501,"31,00"
10/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"37,80"
10/1/2025,10,PRETO,8,LOJA-8,MATRIC-46,"49,50"
10/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"49,50"
10/1/2025,10,PRETO,73,LOJA-73,MATRIC-340,"50,00"
10/1/2025,30,AZUL,46,LOJA-46,MATRIC-521,"59,00"
10/1/2025,30,AZUL,55,LOJA-55,MATRIC-341,"59,40"
10/1/2025,10,PRETO,52,LOJA-52,MATRIC-284,"60,00"
10/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"60,00"
10/1/2025,30,AZUL,47,LOJA-47,MATRIC-327,"69,00"
10/1/2025,10,PRETO,28,LOJA-28,MATRIC-589,"69,00"
10/1/2025,10,PRETO,44,LOJA-44,MATRIC-210,"69,00"
10/1/2025,30,AZUL,46,LOJA-46,MATRIC-367,"69,00"
10/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"69,50"
10/1/2025,10,PRETO,7,LOJA-7,MATRIC-583,"69,50"
10/1/2025,10,PRETO,52,LOJA-52,MATRIC-284,"69,50"
10/1/2025,10,PRETO,8,LOJA-8,MATRIC-46,"69,50"
10/1/2025,10,PRETO,7,LOJA-7,MATRIC-583,"69,50"
10/1/2025,10,PRETO,74,LOJA-74,MATRIC-493,"69,50"
