Date_Ref,Cod_Marca,Descr_Marca,Cod_Loja,Descr_Loja,Matricula,Vlr _Venda
9/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"10,00"
9/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"10,00"
9/1/2025,40,VERMELHO,1,LOJA-1,MATRIC-335,"20,00"
9/1/2025,40,VERMELHO,36,LOJA-36,MATRIC-190,"26,00"
9/1/2025,10,PRETO,19,LOJA-19,MATRIC-537,"37,80"
9/1/2025,10,PRETO,31,LOJA-31,MATRIC-42,"40,00"
9/1/2025,30,AZUL,46,LOJA-46,MATRIC-367,"49,00"
9/1/2025,10,PRETO,53,LOJA-53,MATRIC-179,"49,00"
9/1/2025,10,PRETO,27,LOJA-27,MATRIC-29,"50,00"
9/1/2025,10,PRETO,78,LOJA-78,MATRIC-520,"50,55"
9/1/2025,10,PRETO,31,LOJA-31,MATRIC-106,"60,00"
9/1/2025,10,PRETO,19,LOJA-19,MATRIC-455,"64,50"
9/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"69,00"
9/1/2025,30,AZUL,21,LOJA-21,MATRIC-536,"69,00"
9/1/2025,30,AZUL,46,LOJA-46,MATRIC-367,"69,00"
9/1/2025,10,PRETO,8,LOJA-8,MATRIC-46,"69,50"
9/1/2025,10,PRETO,9,LOJA-9,MATRIC-227,"69,50"
9/1/2025,10,PRETO,9,LOJA-9,MATRIC-227,"69,50"
9/1/2025,10,PRETO,14,LOJA-14,MATRIC-151,"69,50"
9/1/2025,10,PRETO,16,LOJA-16,MATRIC-139,"69,50"
9/1/2025,10,PRETO,17,LOJA-17,MATRIC-170,"69,50"
9/1/2025,10,PRETO,25,LOJA-25,MATRIC-356,"69,50"
9/1/2025,10,PRETO,35,LOJA-35,MATRIC-10,"69,50"
9/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"69,50"
9/1/2025,10,PRETO,2,LOJA-2,MATRIC-405,"74,50"
9/1/2025,10,PRETO,6,LOJA-6,MATRIC-400,"74,50"
9/1/2025,10,PRETO,6,LOJA-6,MATRIC-400,"74,50"
9/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"74,50"
9/1/2025,10,PRETO,44,LOJA-44,MATRIC-286,"74,50"
9/1/2025,10,PRETO,67,LOJA-67,MATRIC-83,"79,50"
9/1/2025,10,PRETO,8,LOJA-8,MATRIC-46,"79,50"
9/1/2025,10,PRETO,8,LOJA-8,MATRIC-46,"79,50"
9/1/2025,10,PRETO,29,LOJA-29,MATRIC-260,"79,50"
9/1/2025,10,PRETO,58,LOJA-58,MATRIC-471,"80,00"
9/1/2025,10,PRETO,33,LOJA-33,MATRIC-60,"84,50"
9/1/2025,10,PRETO,33,LOJA-33,MATRIC-60,"84,50"
9/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"84,50"
9/1/2025,10,PRETO,48,LOJA-48,MATRIC-404,"84,50"
9/1/2025,10,PRETO,50,LOJA-50,MATRIC-116,"84,50"
9/1/2025,10,PRETO,35,LOJA-35,MATRIC-10,"89,50"
9/1/2025,20,BRANCO,75,LOJA-75,MATRIC-1,"95,00"
9/1/2025,10,PRETO,29,LOJA-29,MATRIC-242,"97,30"
9/1/2025,30,AZUL,46,LOJA-46,MATRIC-524,"98,00"
9/1/2025,10,PRETO,71,LOJA-71,MATRIC-179,"99,50"
9/1/2025,10,PRETO,7,LOJA-7,MATRIC-583,"99,50"
9/1/2025,10,PRETO,18,LOJA-18,MATRIC-382,"99,50"
9/1/2025,10,PRETO,29,LOJA-29,MATRIC-260,"99,50"
9/1/2025,10,PRETO,52,LOJA-52,MATRIC-284,"99,50"
9/1/2025,10,PRETO,10,LOJA-10,MATRIC-201,"100,00"
9/1/2025,40,VERMELHO,36,LOJA-36,MATRIC-190,"101,00"
9/1/2025,30,AZUL,55,LOJA-55,MATRIC-341,"107,00"
9/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"108,00"
9/1/2025,10,PRETO,77,LOJA-77,MATRIC-173,"114,50"
9/1/2025,10,PRETO,33,LOJA-33,MATRIC-60,"114,50"
9/1/2025,10,PRETO,63,LOJA-63,MATRIC-169,"118,30"
9/1/2025,10,PRETO,18,LOJA-18,MATRIC-382,"119,50"
9/1/2025,10,PRETO,7,LOJA-7,MATRIC-80,"120,00"
9/1/2025,40,VERMELHO,1,LOJA-1,MATRIC-140,"124,50"
9/1/2025,10,PRETO,12,LOJA-12,MATRIC-285,"124,50"
9/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"124,50"
9/1/2025,10,PRETO,29,LOJA-29,MATRIC-215,"129,00"
9/1/2025,10,PRETO,38,LOJA-38,MATRIC-413,"129,00"
9/1/2025,10,PRETO,45,LOJA-45,MATRIC-194,"129,00"
9/1/2025,10,PRETO,6,LOJA-6,MATRIC-400,"130,00"
