Date_Ref,Cod_Marca,Descr_Marca,Cod_Loja,Descr_Loja,Matricula,Vlr _Venda
12/1/2025,10,PRETO,62,LOJA-62,MATRIC-226,"10,00"
12/1/2025,40,VERMELHO,1,LOJA-1,MATRIC-397,"10,00"
12/1/2025,10,PRETO,3,LOJA-3,MATRIC-417,"10,00"
12/1/2025,10,PRETO,58,LOJA-58,MATRIC-459,"10,00"
12/1/2025,10,PRETO,14,LOJA-14,MATRIC-278,"11,00"
12/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"19,00"
12/1/2025,10,PRETO,53,LOJA-53,MATRIC-530,"19,00"
12/1/2025,10,PRETO,60,LOJA-60,MATRIC-348,"20,00"
12/1/2025,10,PRETO,15,LOJA-15,MATRIC-5,"21,00"
12/1/2025,10,PRETO,76,LOJA-76,MATRIC-92,"27,80"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"30,00"
12/1/2025,10,PRETO,10,LOJA-10,MATRIC-201,"30,00"
12/1/2025,10,PRETO,54,LOJA-54,MATRIC-281,"30,00"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"39,00"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"40,00"
12/1/2025,10,PRETO,22,LOJA-22,MATRIC-497,"40,00"
12/1/2025,10,PRETO,28,LOJA-28,MATRIC-18,"40,00"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"43,10"
12/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"46,00"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"49,00"
12/1/2025,10,PRETO,77,LOJA-77,MATRIC-178,"49,00"
12/1/2025,10,PRETO,71,LOJA-71,MATRIC-179,"49,50"
12/1/2025,10,PRETO,29,LOJA-29,MATRIC-260,"49,50"
12/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"49,50"
12/1/2025,10,PRETO,53,LOJA-53,MATRIC-444,"49,50"
12/1/2025,10,PRETO,23,LOJA-23,MATRIC-608,"50,00"
12/1/2025,10,PRETO,77,LOJA-77,MATRIC-178,"59,00"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"60,00"
12/1/2025,10,PRETO,34,LOJA-34,MATRIC-188,"60,00"
12/1/2025,10,PRETO,15,LOJA-15,MATRIC-5,"61,00"
12/1/2025,10,PRETO,17,LOJA-17,MATRIC-170,"64,50"
12/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"64,50"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"65,30"
12/1/2025,10,PRETO,60,LOJA-60,MATRIC-348,"65,65"
12/1/2025,10,PRETO,3,LOJA-3,MATRIC-517,"69,00"
12/1/2025,10,PRETO,67,LOJA-67,MATRIC-83,"69,50"
12/1/2025,10,PRETO,71,LOJA-71,MATRIC-179,"69,50"
12/1/2025,10,PRETO,77,LOJA-77,MATRIC-173,"69,50"
12/1/2025,10,PRETO,77,LOJA-77,MATRIC-173,"69,50"
12/1/2025,10,PRETO,8,LOJA-8,MATRIC-46,"69,50"
12/1/2025,10,PRETO,9,LOJA-9,MATRIC-227,"69,50"
12/1/2025,10,PRETO,11,LOJA-11,MATRIC-266,"69,50"
12/1/2025,10,PRETO,17,LOJA-17,MATRIC-170,"69,50"
12/1/2025,10,PRETO,18,LOJA-18,MATRIC-382,"69,50"
12/1/2025,10,PRETO,18,LOJA-18,MATRIC-382,"69,50"
12/1/2025,10,PRETO,19,LOJA-19,MATRIC-361,"69,50"
12/1/2025,10,PRETO,19,LOJA-19,MATRIC-361,"69,50"
12/1/2025,10,PRETO,22,LOJA-22,MATRIC-497,"69,50"
12/1/2025,10,PRETO,25,LOJA-25,MATRIC-356,"69,50"
12/1/2025,10,PRETO,29,LOJA-29,MATRIC-260,"69,50"
12/1/2025,10,PRETO,29,LOJA-29,MATRIC-260,"69,50"
12/1/2025,10,PRETO,31,LOJA-31,MATRIC-52,"69,50"
12/1/2025,10,PRETO,32,LOJA-32,MATRIC-572,"69,50"
12/1/2025,10,PRETO,35,LOJA-35,MATRIC-10,"69,50"
12/1/2025,10,PRETO,38,LOJA-38,MATRIC-179,"69,50"
12/1/2025,10,PRETO,45,LOJA-45,MATRIC-194,"69,50"
12/1/2025,10,PRETO,50,LOJA-50,MATRIC-116,"69,50"
12/1/2025,10,PRETO,54,LOJA-54,MATRIC-90,"69,50"
12/1/2025,10,PRETO,2,LOJA-2,MATRIC-405,"74,50"
12/1/2025,10,PRETO,10,LOJA-10,MATRIC-201,"74,50"
12/1/2025,10,PRETO,16,LOJA-16,MATRIC-139,"74,50"
12/1/2025,10,PRETO,60,LOJA-60,MATRIC-348,"79,50"
12/1/2025,10,PRETO,66,LOJA-66,MATRIC-439,"79,50"
12/1/2025,10,PRETO,67,LOJA-67,MATRIC-83,"79,50"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"79,50"
12/1/2025,10,PRETO,9,LOJA-9,MATRIC-227,"79,50"
12/1/2025,10,PRETO,14,LOJA-14,MATRIC-590,"79,50"
12/1/2025,10,PRETO,19,LOJA-19,MATRIC-361,"79,50"
12/1/2025,10,PRETO,19,LOJA-19,MATRIC-361,"79,50"
12/1/2025,10,PRETO,26,LOJA-26,MATRIC-163,"79,50"
12/1/2025,10,PRETO,29,LOJA-29,MATRIC-260,"79,50"
12/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"79,50"
12/1/2025,10,PRETO,50,LOJA-50,MATRIC-116,"79,50"
12/1/2025,10,PRETO,60,LOJA-60,MATRIC-348,"80,00"
12/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"80,00"
12/1/2025,30,AZUL,46,LOJA-46,MATRIC-521,"84,50"
12/1/2025,10,PRETO,3,LOJA-3,MATRIC-417,"85,60"
12/1/2025,10,PRETO,33,LOJA-33,MATRIC-37,"89,10"
12/1/2025,30,AZUL,21,LOJA-21,MATRIC-391,"89,40"
12/1/2025,30,AZUL,46,LOJA-46,MATRIC-462,"89,40"
12/1/2025,30,AZUL,55,LOJA-55,MATRIC-341,"89,40"
12/1/2025,10,PRETO,48,LOJA-48,MATRIC-404,"89,50"
12/1/2025,10,PRETO,22,LOJA-22,MATRIC-497,"90,00"
12/1/2025,10,PRETO,68,LOJA-68,MATRIC-56,"91,00"
12/1/2025,30,AZUL,47,LOJA-47,MATRIC-160,"91,60"
12/1/2025,10,PRETO,6,LOJA-6,MATRIC-400,"94,05"
12/1/2025,30,AZUL,46,LOJA-46,MATRIC-474,"94,50"
12/1/2025,10,PRETO,2,LOJA-2,MATRIC-392,"97,30"
12/1/2025,30,AZUL,55,LOJA-55,MATRIC-563,"98,00"
12/1/2025,10,PRETO,77,LOJA-77,MATRIC-243,"99,00"
12/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"99,00"
12/1/2025,10,PRETO,8,LOJA-8,MATRIC-46,"99,50"
12/1/2025,10,PRETO,12,LOJA-12,MATRIC-285,"99,50"
12/1/2025,10,PRETO,18,LOJA-18,MATRIC-382,"99,50"
12/1/2025,10,PRETO,44,LOJA-44,MATRIC-286,"99,50"
12/1/2025,10,PRETO,76,LOJA-76,MATRIC-92,"104,30"
12/1/2025,10,PRETO,30,LOJA-30,MATRIC-238,"104,30"
12/1/2025,10,PRETO,71,LOJA-71,MATRIC-179,"104,50"
12/1/2025,10,PRETO,45,LOJA-45,MATRIC-138,"107,10"
12/1/2025,30,AZUL,55,LOJA-55,MATRIC-341,"109,00"
12/1/2025,10,PRETO,6,LOJA-6,MATRIC-400,"109,50"
12/1/2025,10,PRETO,9,LOJA-9,MATRIC-227,"109,50"
12/1/2025,10,PRETO,9,LOJA-9,MATRIC-227,"109,50"
12/1/2025,10,PRETO,17,LOJA-17,MATRIC-170,"109,50"
12/1/2025,10,PRETO,26,LOJA-26,MATRIC-51,"111,20"
12/1/2025,10,PRETO,19,LOJA-19,MATRIC-540,"111,30"
12/1/2025,10,PRETO,3,LOJA-3,MATRIC-386,"114,50"
12/1/2025,30,AZUL,21,LOJA-21,MATRIC-419,"119,00"
12/1/2025,30,AZUL,46,LOJA-46,MATRIC-474,"119,00"
12/1/2025,10,PRETO,67,LOJA-67,MATRIC-83,"124,50"
12/1/2025,10,PRETO,77,LOJA-77,MATRIC-173,"124,50"
12/1/2025,10,PRETO,12,LOJA-12,MATRIC-285,"124,50"
12/1/2025,10,PRETO,12,LOJA-12,MATRIC-285,"124,50"
12/1/2025,10,PRETO,12,LOJA-12,MATRIC-285,"124,50"
12/1/2025,10,PRETO,13,LOJA-13,MATRIC-422,"124,50"
12/1/2025,10,PRETO,15,LOJA-15,MATRIC-5,"124,50"
12/1/2025,10,PRETO,31,LOJA-31,MATRIC-52,"124,50"
12/1/2025,10,PRETO,35,LOJA-35,MATRIC-10,"124,50"
12/1/2025,10,PRETO,42,LOJA-42,MATRIC-137,"124,50"
12/1/2025,10,PRETO,38,LOJA-38,MATRIC-489,"127,39"
12/1/2025,10,PRETO,62,LOJA-62,MATRIC-226,"129,00"
12/1/2025,10,PRETO,12,LOJA-12,MATRIC-308,"129,00"
12/1/2025,10,PRETO,19,LOJA-19,MATRIC-561,"129,00"
12/1/2025,10,PRETO,34,LOJA-34,MATRIC-188,"129,00"
12/1/2025,10,PRETO,38,LOJA-38,MATRIC-478,"129,00"
12/1/2025,30,AZUL,55,LOJA-55,MATRIC-564,"129,00"
12/1/2025,10,PRETO,66,LOJA-66,MATRIC-495,"132,05"
12/1/2025,10,PRETO,37,LOJA-37,MATRIC-330,"132,30"
12/1/2025,10,PRETO,45,LOJA-45,MATRIC-194,"135,15"
12/1/2025,10,PRETO,60,LOJA-60,MATRIC-348,"139,00"
12/1/2025,10,PRETO,61,LOJA-61,MATRIC-53,"139,00"
12/1/2025,10,PRETO,67,LOJA-67,MATRIC-83,"139,00"
